,date_time,maxtempC,mintempC,tempC,FeelsLikeC,windspeedKmph,WindGustKmph,cloudcover,uvIndex,pressure,humidity
2513,2015-11-19,30.0,18.0,23.666666666666668,23.5,13.083333333333334,24.791666666666668,1.2083333333333333,6.0,1013.1666666666666,42.666666666666664
2514,2015-11-20,31.0,19.0,24.75,25.375,12.333333333333334,23.833333333333332,27.25,6.0,1011.7916666666666,56.333333333333336
2515,2015-11-21,29.0,22.0,24.708333333333332,26.375,7.75,16.708333333333332,66.58333333333333,6.0,1011.7083333333334,75.875
2516,2015-11-22,29.0,21.0,24.0,25.625,6.75,12.208333333333334,65.29166666666667,5.0,1011.9166666666666,76.83333333333333
2517,2015-11-23,29.0,21.0,24.125,25.916666666666668,7.291666666666667,12.083333333333334,75.125,5.0,1012.5416666666666,76.08333333333333
2518,2015-11-24,28.0,21.0,23.958333333333332,25.333333333333332,6.166666666666667,12.083333333333334,54.958333333333336,6.0,1013.25,72.20833333333333
2519,2015-11-25,30.0,20.0,24.041666666666668,24.666666666666668,6.625,13.125,50.541666666666664,6.0,1013.2083333333334,64.20833333333333
2520,2015-11-26,30.0,20.0,24.5,25.208333333333332,5.208333333333333,10.791666666666666,8.291666666666666,6.0,1012.9166666666666,59.416666666666664
2521,2015-11-27,31.0,20.0,24.75,25.75,4.125,8.75,11.916666666666666,6.0,1011.0,60.291666666666664
2522,2015-11-28,32.0,20.0,25.041666666666668,25.833333333333332,3.7083333333333335,8.333333333333334,12.125,7.0,1012.2916666666666,59.041666666666664
2523,2015-11-29,30.0,20.0,24.583333333333332,25.083333333333332,8.208333333333334,14.208333333333334,10.625,6.0,1014.3333333333334,52.916666666666664
2524,2015-11-30,30.0,19.0,24.291666666666668,24.583333333333332,7.958333333333333,14.041666666666666,12.0,6.0,1014.625,55.5
2525,2015-12-01,31.0,20.0,24.5,25.208333333333332,6.541666666666667,12.541666666666666,16.375,6.0,1013.2916666666666,61.75
2526,2015-12-02,31.0,20.0,24.75,25.5,6.625,12.333333333333334,13.666666666666666,6.0,1013.0833333333334,59.041666666666664
2527,2015-12-03,30.0,20.0,25.208333333333332,25.666666666666668,7.333333333333333,12.125,8.708333333333334,7.0,1013.5416666666666,55.125
2528,2015-12-04,31.0,21.0,25.541666666666668,26.291666666666668,8.25,13.166666666666666,3.7916666666666665,7.0,1013.2083333333334,44.666666666666664
2529,2015-12-05,30.0,19.0,24.041666666666668,24.25,7.5,14.041666666666666,2.9166666666666665,6.0,1013.7916666666666,52.416666666666664
2530,2015-12-06,30.0,18.0,23.666666666666668,23.5,8.833333333333334,17.333333333333332,0.7916666666666666,6.0,1013.875,46.25
2531,2015-12-07,30.0,18.0,23.458333333333332,23.666666666666668,8.625,16.0,0.0,6.0,1014.5416666666666,47.375
2532,2015-12-08,30.0,18.0,23.5,23.416666666666668,7.958333333333333,14.708333333333334,0.0,6.0,1014.2083333333334,43.125
2533,2015-12-09,31.0,19.0,23.791666666666668,23.833333333333332,7.208333333333333,13.375,6.083333333333333,6.0,1014.0416666666666,45.083333333333336
2534,2015-12-10,32.0,19.0,24.416666666666668,24.75,6.958333333333333,13.291666666666666,8.75,6.0,1013.0,49.958333333333336
2535,2015-12-11,32.0,19.0,24.125,24.416666666666668,6.625,11.958333333333334,9.208333333333334,6.0,1011.625,56.875
2536,2015-12-12,32.0,18.0,24.166666666666668,24.416666666666668,4.791666666666667,9.875,6.5,6.0,1011.125,53.083333333333336
2537,2015-12-13,32.0,19.0,24.833333333333332,24.958333333333332,5.041666666666667,9.208333333333334,11.875,6.0,1011.625,43.541666666666664
2538,2015-12-14,33.0,20.0,25.5,25.75,4.375,10.333333333333334,6.458333333333333,7.0,1012.5,43.5
2539,2015-12-15,32.0,20.0,25.125,25.458333333333332,6.333333333333333,12.708333333333334,7.416666666666667,7.0,1012.0833333333334,47.041666666666664
2540,2015-12-16,33.0,20.0,25.125,25.791666666666668,4.125,10.0,16.833333333333332,7.0,1012.2083333333334,50.666666666666664
2541,2015-12-17,33.0,20.0,25.041666666666668,25.125,4.041666666666667,9.541666666666666,13.583333333333334,6.0,1012.1666666666666,41.666666666666664
2542,2015-12-18,29.0,18.0,22.666666666666668,22.666666666666668,8.625,14.958333333333334,27.25,6.0,1014.375,42.375
2543,2015-12-19,29.0,17.0,22.375,22.291666666666668,8.208333333333334,15.333333333333334,16.666666666666668,6.0,1014.9583333333334,43.541666666666664
2544,2015-12-20,29.0,17.0,22.375,22.375,7.083333333333333,13.166666666666666,23.041666666666668,6.0,1014.7083333333334,43.458333333333336
2545,2015-12-21,31.0,18.0,23.375,23.5,6.583333333333333,11.75,4.916666666666667,6.0,1014.75,54.041666666666664
2546,2015-12-22,30.0,18.0,22.625,22.333333333333332,5.166666666666667,10.333333333333334,0.0,6.0,1016.5416666666666,37.791666666666664
2547,2015-12-23,30.0,17.0,22.666666666666668,22.458333333333332,4.708333333333333,10.0,0.0,6.0,1016.7083333333334,30.25
2548,2015-12-24,27.0,16.0,20.916666666666668,20.833333333333332,9.125,15.875,0.0,6.0,1016.7083333333334,33.208333333333336
2549,2015-12-25,27.0,15.0,20.041666666666668,19.875,9.458333333333334,19.458333333333332,0.0,6.0,1017.0833333333334,31.666666666666668
